Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,FrontHotel,FrontRest,Manager,Retail
,,Bellboys,x,,,
,,SPA,,,,
,,Guest Exp 1,x,,,
,,Guest Exp 2,x,,,
,,Hostess Oku,,x,,
,,Hostess Tokima,,x,,
,,Concierge,x,,,
,,Purchases,,,x,
,,Finance,x,x,x,x
,,Finance,x,x,x,x
,,SSTT,x,,,
,,Finance,x,x,x,
,,Revenue,x,,x,
,,Finance,x,x,x,
,,HKeeping,x,,,
,,F&B,,x,,
,,Events,x,,,
,,Reception,x,,,
,,Reception,x,,,
,,Reception,x,,,
,,Front Office,x,,,
,,Front Office,x,,,
,,F&B,,x,,
,,Purchases,,,x,
,,Econom,,,x,
,,Reception,x,,,
,,Front Office,x,,,
,,Front Office,x,,,
,,Front Office,x,,,
,,Econom,,,x,
,,HKeeping,x,,,
,,Room Serv,,x,,
,,Kitchen,,,x,
,,Tokima 01,,x,,
,,Oku Bar Ext 01,,x,,
,,Oku Restaurant 02,,x,,
,,Oku Restaurant 01,,x,,
,,Oku Shop 01,,,,x
,,Oku Pool Bar 01,,x,,
,,Oku Pool Service 01,,x,,
,,Oku Spa 01,,x,,
,,Oku Pool Service 02,,x,,
,,,22,17,10,3
,Front Hotel,1450,31900,17850,22000,3150
,Front Rest,1050,,,,
,Manager,2200,,,,
,Front Retail,1050,,,,
,,,Total,74900,,
